family,subfamily,clade,genus,Consensus estimate,phylogenetic estimate,Spp recognized (The Plant List),Spp studied,Positive reports,Negative reports,GRIN,TRY,Nodulation_clade,Werner et al. 2014,Li et al. 2015,Sprent 2009,Rai et al. 2000,Chaia et al. 2010,Other sources,Ref:other,Comments
Fabaceae,Cercidoideae,,Gigasiphon,None,unlikely_Rhizobia,4,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Griffonia,None,unlikely_Rhizobia,4,1,0,1,None,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Lasiobema,None,unlikely_Rhizobia,4,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Lysiphyllum,None,unlikely_Rhizobia,6,1,0,1,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Phanera,None,unlikely_Rhizobia,36,0,0,0,,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Piliostigma,None,unlikely_Rhizobia,2,3,0,3,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Schnella,None,unlikely_Rhizobia,6,0,0,0,,,None,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Tylosema,None,unlikely_Rhizobia,10,2,0,2,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Afzelia,None,unlikely_Rhizobia,12,4,1,7,,,None,,Rhizobia,unlikely_rhizobia,,,None/Rhizobia,"Workman et al. 1986 (exp, 1sp); Bai et al. 1987 (nat; 1sp); Khasa et al. 1990/Hšgberg & Nylund 1981 (nat, 1sp)",
Fabaceae,Detarioideae,,Amherstia,None,unlikely_Rhizobia,1,1,1,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Annea,None,unlikely_Rhizobia,2,0,0,0,,,None,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Anthonotha,None,unlikely_Rhizobia,30,3,0,3,None,Present,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Aphanocalyx,None,unlikely_Rhizobia,15,1,0,1,,,,,,unlikely_rhizobia,,,None,"L. Tedersoo, pers.obs. (nat, 1 sp)",
Fabaceae,Detarioideae,,Augouardia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Baikiaea,None,unlikely_Rhizobia,7,2,0,2,,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Barnebydendron,unlikely_Rhizobia,unlikely_Rhizobia,1,1,2,1,ambiguous,,,,Rhizobia,unlikely_rhizobia,,,Rhizobia/None,Canosa et al. 2012/Faria et al. 1984,
Fabaceae,Detarioideae,,Berlinia,None,unlikely_Rhizobia,18,4,0,4,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Bikinia,None,unlikely_Rhizobia,10,1,0,1,,,,,,unlikely_rhizobia,,,None,"L. Tedersoo, pers.obs. (nat, 1 sp)",
Fabaceae,Detarioideae,,Brachycylix,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Brachystegia,None,unlikely_Rhizobia,35,15,1,15,None,Present,None,None,Rhizobia,unlikely_rhizobia,,,None,"Corby 1974 (nat, 7spp); Khasa et al. 1990 (nat 1sp); L. Tedersoo, pers.obs.",
Fabaceae,Detarioideae,,Brandzeia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Brodriguesia,None,unlikely_Rhizobia,1,1,0,1,None,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Brownea,None,unlikely_Rhizobia,32,7,1,7,None,,None,None,Rhizobia,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Browneopsis,None,unlikely_Rhizobia,4,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Colophospermum,None,unlikely_Rhizobia,1,1,1,1,ambiguous,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Copaifera,None,unlikely_Rhizobia,47,7,1,7,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Crudia,None,unlikely_Rhizobia,55,6,1,7,None,,None,Rhizobia,Rhizobia,unlikely_rhizobia,,,None,Souza et al. 1994 (nat 1 sp),
Fabaceae,Detarioideae,,Cryptosepalum,None,unlikely_Rhizobia,11,3,0,4,,Present,None,,None,unlikely_rhizobia,,,None,"L. Tedersoo, pers.obs. (nat, 1 sp)",
Fabaceae,Detarioideae,,Cynometra,None,unlikely_Rhizobia,88,5,0,7,None,Present,None,,Rhizobia,unlikely_rhizobia,,,None,"Souza et al. 1994 (nat, 1sp) Moreira 1997 (exp. 1sp); Faria et al. 2010 (nat 1sp)",
Fabaceae,Detarioideae,,Daniellia,None,unlikely_Rhizobia,8,4,0,4,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Detarium,None,unlikely_Rhizobia,4,3,0,3,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Dicymbe,None,unlikely_Rhizobia,20,2,2,4,ambiguous,,,None,Rhizobia,unlikely_rhizobia,,,None,"Pons et al. 2007 (nat, exp. 1 sp); M.E. Smith, pers. comm. (nat., 2 spp)",
Fabaceae,Detarioideae,,Didelotia,None,unlikely_Rhizobia,12,1,0,2,None,,None,None,None,unlikely_rhizobia,,,None,"L. Tedersoo, pers.obs. (nat, 1 sp)",
Fabaceae,Detarioideae,,Ecuadendron,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Elizabetha,None,unlikely_Rhizobia,11,7,1,6,ambiguous,Present,variable,None,Rhizobia,unlikely_rhizobia,,,None,"Faria et al. 1987 (nat, 1sp); Moreira et al. 1992 (nat, 4 sp); Gehring et al. 2005 (nat, 1sp)",
Fabaceae,Detarioideae,,Endertia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Englerodendron,None,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Eperua,None,unlikely_Rhizobia,15,6,1,7,None,variable,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Eurypetalum,None,unlikely_Rhizobia,3,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Gabonius,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Gilbertiodendron,None,unlikely_Rhizobia,27,5,1,6,,,None,,Rhizobia,unlikely_rhizobia,,,None,"Corby 1988 (nat, 1 sp); L. Tedersoo, pers.obs. (nat, 2 spp.)",
Fabaceae,Detarioideae,,Gilletiodendron,None,unlikely_Rhizobia,5,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Goniorrhachis,None,unlikely_Rhizobia,1,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Gossweilerodendron,None,unlikely_Rhizobia,2,1,1,0,Rhizobia,,,None,Rhizobia,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Guibourtia,None,unlikely_Rhizobia,16,6,0,6,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Hardwickia,None,unlikely_Rhizobia,2,2,2,0,Rhizobia,Present,,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Heterostemon,None,unlikely_Rhizobia,7,1,0,1,None,None,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Humboldtia,Rhizobia,unlikely_Rhizobia,7,1,3,0,Rhizobia,,Rhizobia,,Rhizobia,unlikely_rhizobia,,,Rhizobia,"Ceuster & van Holm 1993 (exp., 1sp); Wijesundara 1996 (nat, 1sp)",
Fabaceae,Detarioideae,,Hylodendron,None,unlikely_Rhizobia,1,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Hymenaea,None,unlikely_Rhizobia,16,10,2,11,None,Present,None,None,Rhizobia,unlikely_rhizobia,,,None,"Lieberman et al. 1985 (nat+exp 1 sp); Moreira et al. 1992 (nat, 2 spp); Souza et al. 1994 (nat, 2 spp) Magalhaes & Souza 1987 (nat, 1 sp.); Gehring et al. 2005 (nat, 2spp)",
Fabaceae,Detarioideae,,Hymenostegia,None,unlikely_Rhizobia,16,1,0,1,None,,,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Icuria,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Intsia,None,unlikely_Rhizobia,8,4,1,8,None,,None,,Rhizobia,unlikely_rhizobia,,,None,"L. Tedersoo, pers. obs. (nat, 2 spp.)",
Fabaceae,Detarioideae,,Isoberlinia,None,unlikely_Rhizobia,5,3,0,4,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Isomacrolobium,None,unlikely_Rhizobia,13,0,0,0,,,None,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Julbernardia,None,unlikely_Rhizobia,11,2,0,4,None,None,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Kingiodendron,None,unlikely_Rhizobia,5,0,0,0,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Lebruniodendron,None,unlikely_Rhizobia,1,0,0,0,,,unrecognized,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Leonardoxa,None,unlikely_Rhizobia,3,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Leucostegane,None,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Librevillea,None,unlikely_Rhizobia,1,0,0,0,,Present,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Loesenera,None,unlikely_Rhizobia,4,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Lysidice,None,unlikely_Rhizobia,2,2,1,1,,,,,Rhizobia,unlikely_rhizobia,,,None,"Bai et al. 1987 (nat, 1sp)",
Fabaceae,Detarioideae,,Macrolobium,None,unlikely_Rhizobia,76,13,0,21,None,Present,None,None,Rhizobia,unlikely_rhizobia,,,None,"Faria et al. 2010 (nat, 5 spp)",
Fabaceae,Detarioideae,,Maniltoa,unlikely_Rhizobia,unlikely_Rhizobia,21,2,1,1,ambiguous,,,,Rhizobia,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Michelsonia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Micklethwaitia,None,unlikely_Rhizobia,0,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Microberlinia,None,unlikely_Rhizobia,2,1,0,2,None,,None,None,None,unlikely_rhizobia,,,None,"L. Tedersoo, pers.obs. (nat, 1 sp)",
Fabaceae,Detarioideae,,Neoapaloxylon,None,unlikely_Rhizobia,3,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Neochevalierodendron,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Normandiodendron,None,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Oddoniodendron,None,unlikely_Rhizobia,3,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Oxystigma,None,unlikely_Rhizobia,5,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Paloue,None,unlikely_Rhizobia,4,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Paloveopsis,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Paramacrolobium,None,unlikely_Rhizobia,1,1,0,1,ambiguous,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Pellegriniodendron,None,unlikely_Rhizobia,1,1,0,1,None,,unrecognized,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Peltogyne,None,unlikely_Rhizobia,25,8,0,11,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Plagiosiphon,None,unlikely_Rhizobia,5,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Polystemonanthus,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Prioria,unlikely_Rhizobia,unlikely_Rhizobia,13,0,0,0,,Present,,,Rhizobia,unlikely_rhizobia,,,Likely_rhizobia,"Shearer & Kohl 1986 (nat, 1sp: delta15N)",
Fabaceae,Detarioideae,,Pseudomacrolobium,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Saraca,None,unlikely_Rhizobia,11,5,1,8,None,Present,None,,Rhizobia,unlikely_rhizobia,,,None,"Norani 1983 (nat, 1sp); Bai et al. 1987 (nat, 1sp)",
Fabaceae,Detarioideae,,Schotia,None,unlikely_Rhizobia,4,3,0,3,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Scorodophloeus,None,unlikely_Rhizobia,2,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Sindora,None,unlikely_Rhizobia,19,4,1,3,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Sindoropsis,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Stemonocoleus,None,unlikely_Rhizobia,1,0,0,0,,,None,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Zenkerella,None,unlikely_Rhizobia,6,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Talbotiella,None,unlikely_Rhizobia,3,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Tamarindus,None,unlikely_Rhizobia,1,1,1,5,ambiguous,None,None,None,Rhizobia,unlikely_rhizobia,,,None,"Corby 1974 (nat, 1sp); Ding et al. 1986 (nat, 1 sp); Bai et al. 1987 (nat; 1sp); Faria et al. 1989 (nat 1sp)",
Fabaceae,Detarioideae,,Tessmannia,None,unlikely_Rhizobia,12,1,0,1,None,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Detarioideae,,Tetraberlinia,None,unlikely_Rhizobia,7,2,0,2,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Androcalymma,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Apuleia,None,unlikely_Rhizobia,3,3,2,3,ambiguous,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Baudouinia,None,unlikely_Rhizobia,6,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Dialium,None,unlikely_Rhizobia,41,8,1,7,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Dicorynia,None,unlikely_Rhizobia,2,2,2,1,ambiguous,None,Rhizobia,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Distemonanthus,None,unlikely_Rhizobia,1,1,0,1,None,,,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Eligmocarpus,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Kalappia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Koompassia,None,unlikely_Rhizobia,3,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Labichea,None,unlikely_Rhizobia,14,1,1,0,,,,,,unlikely_rhizobia,,,Rhizobia,Png et al. 2017,
Fabaceae,Dialioideae,,Martiodendron,None,unlikely_Rhizobia,5,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Mendoravia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Petalostylis,None,unlikely_Rhizobia,2,1,0,1,None,,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Poeppigia,None,unlikely_Rhizobia,1,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Storckiella,None,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Dialioideae,,Zenia,None,unlikely_Rhizobia,1,1,0,2,,,,,,unlikely_rhizobia,,,None,"Bai et al. 1987 (nat, 1sp); Aihua et al. 2006 (nat, 1sp)",
Fabaceae,Dialioideae,,Uittienia,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Duparquetioideae,,Duparquetia,None,unlikely_Rhizobia,1,1,0,1,None,,None,,None,unlikely_rhizobia,,,,,
Fabaceae,Papilionoideae,ADA clade,Alexa,None,unlikely_Rhizobia,11,3,1,2,None,Present,None,,Rhizobia,,,,,,
Fabaceae,Papilionoideae,ADA clade,Amburana,None,unlikely_Rhizobia,2,2,0,2,None,None,None,None,None,None,,,,,
Fabaceae,Papilionoideae,ADA clade,Angylocalyx,None,unlikely_Rhizobia,6,2,0,3,None,,None,,None,,,,None,"Diabate (nat, 1sp); Sprent et al. 2005",
Fabaceae,Papilionoideae,ADA clade,Castanospermum,None,unlikely_Rhizobia,1,1,0,1,None,None,None,None,None,,,,,,
Fabaceae,Papilionoideae,ADA clade,Cordyla,None,unlikely_Rhizobia,7,1,0,1,None,,None,,None,None,,,,,
Fabaceae,Papilionoideae,ADA clade,Dipteryx,None,unlikely_Rhizobia,9,4,0,4,None,Present,None,None,None,,,,,,
Fabaceae,Papilionoideae,ADA clade,Dussia,unlikely_Rhizobia,unlikely_Rhizobia,11,1,1,1,ambiguous,variable,,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,ADA clade,Fairchildia,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,ADA clade,Mildbraediodendron,None,unlikely_Rhizobia,1,1,0,1,None,,None,None,None,None,,,,,
Fabaceae,Papilionoideae,ADA clade,Monopteryx,None,unlikely_Rhizobia,3,1,0,1,,,None,,,,,,,,
Fabaceae,Papilionoideae,ADA clade,Myrocarpus,unlikely_Rhizobia,unlikely_Rhizobia,5,3,2,3,None,Present,None,,Rhizobia,,,,Rhizobia,Canosa et al. 2012,
Fabaceae,Papilionoideae,ADA clade,Myrospermum,unlikely_Rhizobia,unlikely_Rhizobia,2,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,ADA clade,Myroxylon,unlikely_Rhizobia,unlikely_Rhizobia,4,2,1,1,ambiguous,,,,Rhizobia,,,,,,
Fabaceae,Papilionoideae,ADA clade,Petaladenium,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,ADA clade,Pterodon,None,unlikely_Rhizobia,2,3,0,3,None,Present,None,None,None,None,,,,,
Fabaceae,Papilionoideae,ADA clade,Taralea,None,unlikely_Rhizobia,5,2,0,2,None,Present,None,None,None,None,,,,,
Fabaceae,Papilionoideae,ADA clade,Uleanthus,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,ADA clade,Xanthocercis,unlikely_Rhizobia,unlikely_Rhizobia,3,2,2,1,Rhizobia,,,,None,,,,,,
Fabaceae,Papilionoideae,Aldina,Aldina,None,unlikely_Rhizobia,16,2,0,2,,,None,None,None,None,,,,,
Fabaceae,Papilionoideae,Amorpheae,Amorpha,Rhizobia,likely_Rhizobia,18,9,10,0,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amorpheae,Apoplanesia,Rhizobia,likely_Rhizobia,2,1,1,0,,variable,,,,,,,Rhizobia,Burley 1987,
Fabaceae,Papilionoideae,Amorpheae,Dalea,Rhizobia,likely_Rhizobia,183,30,25,6,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amorpheae,Errazurizia,likely_Rhizobia,likely_Rhizobia,4,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Amorpheae,Eysenhardtia,likely_Rhizobia,likely_Rhizobia,13,4,1,3,ambiguous,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amorpheae,Marina,Rhizobia,likely_Rhizobia,40,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amorpheae,Parryella,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amorpheae,Psorothamnus,Rhizobia,likely_Rhizobia,10,5,4,1,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Amphimas,Amphimas,unlikely_Rhizobia,unlikely_Rhizobia,3,1,1,1,ambiguous,,None,,,,,,,,
Fabaceae,Papilionoideae,Andira,Andira,Rhizobia,likely_Rhizobia,48,15,15,3,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Andira,Hymenolobium,Rhizobia,likely_Rhizobia,15,9,9,3,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Baphieae,Airyantha,likely_Rhizobia,likely_Rhizobia,2,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Baphieae,Baphia,Rhizobia,likely_Rhizobia,48,7,8,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Baphieae,Baphiastrum,unlikely_Rhizobia,unlikely_Rhizobia,8,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Baphieae,Baphiopsis,None,unlikely_Rhizobia,1,1,0,1,None,,None,,None,None,,,,,
Fabaceae,Papilionoideae,Baphieae,Bowringia,None,unlikely_Rhizobia,2,1,0,2,None,,,,,,,,None,"Ng & Hau 2009 (nat, 1sp)",
Fabaceae,Papilionoideae,Baphieae,Dalhousiea,None,unlikely_Rhizobia,3,1,0,1,None,,None,,None,,,,,,
Fabaceae,Papilionoideae,Baphieae,Leucomphalos,None,unlikely_Rhizobia,4,1,0,1,None,,None,,None,,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Amphiodon,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Brongniartia,Rhizobia,likely_Rhizobia,58,1,1,0,,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Cristonia,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Cyclolobium,Rhizobia,likely_Rhizobia,5,2,2,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Harpalyce,Rhizobia,likely_Rhizobia,30,2,2,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Hovea,Rhizobia,likely_Rhizobia,38,8,8,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Lamprolobium,Rhizobia,likely_Rhizobia,2,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Plagiocarpus,Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,likely_Rhizobia,"Schmidt & Stewart 2003 (nat, 1sp, delta15N)",
Fabaceae,Papilionoideae,Brongniartieae,Poecilanthe,Rhizobia,likely_Rhizobia,9,6,6,0,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Tabaroa,likely_Rhizobia,likely_Rhizobia,0,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Templetonia,Rhizobia,likely_Rhizobia,12,3,2,1,ambiguous,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Brongniartieae,Thinicola,likely_Rhizobia,likely_Rhizobia,0,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Camoensieae,Camoensia,likely_Rhizobia,likely_Rhizobia,2,0,0,0,,,,,,,,,,,
Fabaceae,Papilionoideae,Cladrastis,Cladrastis,None,unlikely_Rhizobia,8,6,2,6,None,Present,None,None,Rhizobia,,,,None,Foster 1998,
Fabaceae,Papilionoideae,cladrastis,Pickeringia,unlikely_Rhizobia,unlikely_Rhizobia,1,1,1,1,Rhizobia,Present,Rhizobia,None,None,Rhizobia,,,None,"Sprent et al. 2013 (nat, 1sp)",
Fabaceae,Papilionoideae,Cladrastis,Styphnolobium,unlikely_Rhizobia,unlikely_Rhizobia,8,1,1,1,ambiguous,,None,,Rhizobia,None,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Aspalathus,Rhizobia,likely_Rhizobia,269,77,95,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Bolusia,Rhizobia,likely_Rhizobia,6,1,1,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Calobota,Rhizobia,likely_Rhizobia,0,1,1,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Crotalaria,Rhizobia,likely_Rhizobia,699,181,201,2,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Ezoloba,likely_Rhizobia,likely_Rhizobia,0,0,0,0,,,Rhizobia,,,,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Euchlora,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,Rhizobia,,,,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Lebeckia,Rhizobia,likely_Rhizobia,44,16,16,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Leobordea,Rhizobia,likely_Rhizobia,0,1,1,0,,,Rhizobia,,,,,,Rhizobia,Sprent et al. 2013,
Fabaceae,Papilionoideae,Crotalarieae,Listia,Rhizobia,likely_Rhizobia,0,1,2,0,Rhizobia,,Rhizobia,,,,,,Rhizobia,Boatwright et al. 2011,
Fabaceae,Papilionoideae,Crotalarieae,Lotononis,Rhizobia,likely_Rhizobia,199,73,77,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Papilionoideae,Crotalarieae,Pearsonia,Rhizobia,likely_Rhizobia,12,11,14,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
